,0,1,2
0,2018-09-01,66,29781
1,2018-09-02,66,28586
2,2018-09-03,66,15549
3,2018-09-04,65,16728
4,2018-09-05,65,16909
5,2018-09-06,66,17296
6,2018-09-07,66,17090
7,2018-09-08,66,26619
8,2018-09-09,66,26559
9,2018-09-10,66,16076
10,2018-09-11,66,16238
11,2018-09-12,65,16973
12,2018-09-13,65,18285
13,2018-09-14,65,17815
14,2018-09-15,65,28221
15,2018-09-16,66,27864
16,2018-09-17,65,16456
17,2018-09-18,66,16632
18,2018-09-19,66,16742
19,2018-09-20,67,16506
20,2018-09-21,67,16834
21,2018-09-22,67,25817
22,2018-09-23,64,25424
23,2018-09-24,67,14794
24,2018-09-25,67,15902
25,2018-09-26,66,17707
26,2018-09-27,67,17160
27,2018-09-28,66,17319
28,2018-09-29,66,32356
29,2018-09-30,66,29780
30,2018-10-01,66,14108
31,2018-10-02,65,13650
32,2018-10-03,66,13727
33,2018-10-04,67,14938
34,2018-10-05,66,16508
35,2018-10-06,67,28808
36,2018-10-07,65,28010
37,2018-10-08,66,13221
38,2018-10-09,66,14330
39,2018-10-10,67,14918
40,2018-10-11,67,15531
41,2018-10-12,67,17333
42,2018-10-13,67,27173
43,2018-10-14,66,25093
44,2018-10-15,67,12992
45,2018-10-16,67,13801
46,2018-10-17,66,14127
47,2018-10-18,67,14462
48,2018-10-19,67,15146
49,2018-10-20,66,26773
50,2018-10-21,67,25971
51,2018-10-22,67,13436
52,2018-10-23,67,13795
53,2018-10-24,67,14683
54,2018-10-25,67,16112
55,2018-10-26,67,17679
56,2018-10-27,67,31480
57,2018-10-28,67,29383
58,2018-10-29,67,14717
59,2018-10-30,67,16424
60,2018-10-31,67,16853
61,2018-11-01,67,17108
62,2018-11-02,66,17671
63,2018-11-03,67,29044
64,2018-11-04,67,33720
65,2018-11-05,67,27683
66,2018-11-06,67,12974
67,2018-11-07,67,14472
68,2018-11-08,67,14466
69,2018-11-09,67,15817
70,2018-11-10,66,25719
71,2018-11-11,67,29202
72,2018-11-12,67,14375
73,2018-11-13,67,15163
74,2018-11-14,67,14986
75,2018-11-15,67,16270
76,2018-11-16,67,17568
77,2018-11-17,67,29109
78,2018-11-18,67,28373
79,2018-11-19,67,13706
80,2018-11-20,67,14693
81,2018-11-21,67,15925
82,2018-11-22,66,17850
83,2018-11-23,66,38680
84,2018-11-24,66,43516
85,2018-11-25,66,37337
86,2018-11-26,66,13633
87,2018-11-27,66,13663
88,2018-11-28,66,13941
89,2018-11-29,65,14435
90,2018-11-30,66,15660
91,2018-12-01,66,26782
92,2018-12-02,66,25159
93,2018-12-03,66,12153
94,2018-12-04,66,14276
95,2018-12-05,66,14374
96,2018-12-06,66,14566
97,2018-12-07,66,16725
98,2018-12-08,66,29665
99,2018-12-09,66,26738
100,2018-12-10,66,13248
101,2018-12-11,61,12736
102,2018-12-12,66,15458
103,2018-12-13,66,16186
104,2018-12-14,66,16530
105,2018-12-15,66,29195
106,2018-12-16,66,28100
107,2018-12-17,66,14006
108,2018-12-18,66,15346
109,2018-12-19,66,15231
110,2018-12-20,66,17657
111,2018-12-21,66,18929
112,2018-12-22,66,28632
113,2018-12-23,67,28963
114,2018-12-24,66,15664
115,2018-12-25,66,17729
116,2018-12-26,66,18101
117,2018-12-27,66,19051
118,2018-12-28,68,20769
119,2018-12-29,67,23822
120,2018-12-30,67,27621
121,2018-12-31,67,13576
122,2019-01-01,18,3736
123,2019-01-02,65,29098
124,2019-01-03,66,29735
125,2019-01-04,65,29206
126,2019-01-05,67,28694
127,2019-01-06,67,25890
128,2019-01-07,67,24037
129,2019-01-08,67,22079
130,2019-01-09,66,14189
131,2019-01-10,67,13973
132,2019-01-11,67,19050
133,2019-01-12,66,27457
134,2019-01-13,67,23982
135,2019-01-14,67,13697
136,2019-01-15,67,14352
137,2019-01-16,65,14656
138,2019-01-17,67,15232
139,2019-01-18,67,16436
140,2019-01-19,67,25597
