,0,1,2,3,4,5
0,01006083,01006083,01006083,AFI-BA,,
1,02006081,02006081,02006081,AFI-BL,,
2,03006082,03006082,03006082,AFI-BR,,
3,04006083,04006083,04006083,AFI-FA,,
4,06006080,06006080,06006080,AFI-NO,,
5,01006039,01006039,01006039,ATR-BA,,
6,02006098,02006098,02006098,ATR-BL,,
7,03006043,03006043,03006043,ATR-BR,,
8,06006099,06006099,06006099,ATR-NO,,
9,07006160,07006160,07006160,ATR-NO-D,,
10,07006158,07006158,07006158,ATR-NO-SKL,,
11,07006159,07006159,07006159,ATR-NO-U,,
12,07006098,07006098,07006098,ATR-VI,,
13,07006247,07006247,07006247,AVI-NO,,
14,07006265,07006265,07006265,AV-PU,,
15,07006243,07006243,07006243,BD-NO-DONNA,,
16,07006218,07006218,07006218,BD-NOONE,,
17,07006242,07006242,07006242,BD-NO-UOMO,,
18,01006093,01006093,01006093,BD-OT-BA,,
19,07006250,07006250,07006250,BD-POP-UP,,
20,04006012,04006012,04006012,BEL-OT-FA,,
21,07006128,07006128,07006128,BR-NO,,
22,05006073,05006073,05006073,BRON-GZ,,
23,06006201,06006201,06006201,BRONLUX-OT-NO,,
24,04006015,04006015,04006015,CROC-FA,,
25,01002071,01002071,01002071,EK-EVR-BA,,
26,08002097,08002097,08002097,EK-EVR-CA,,
27,06002072,06002072,06002072,EK-EVR-NO,,
28,07002090,07002090,07002090,EK-GRIN,,
29,06002090,06002090,06002090,EK-GRIN-NO,,
30,07002173,07002173,07002173,EK-OT-NO,,
31,02002000,02002000,02002000,EK-PAS-BL,,
32,05002000,05002000,05002000,EK-PAS-FA,,
33,07002000,07002000,07002000,EK-PAS-NO,,
34,07006248,07006248,07006248,ERP-NO,,
35,01006034,01006034,01006034,EVR-BA,,
36,02006085,02006085,02006085,EVR-BL,,
37,03006035,03006035,03006035,EVR-BR,,
38,07006163,07006163,07006163,EVR-NO2,,
39,07006223,07006223,07006223,EVR-NO-DONNA,,
40,06006038,06006038,06006038,EVR-NO-OLD,,
41,07006224,07006224,07006224,EVR-NO-UOMO,,
42,07006038,07006038,07006038,EVR-VI,,
43,00006191,00006191,00006191,EVR-СКЛАД,,
44,07006219,07006219,07006219,FH-NOONE,,
45,01006116,01006116,01006116,FH-OT-BA,,
46,07006249,07006249,07006249,FH-OT-NOONE,,
47,07006241,07006241,07006241,FH-POP-UP,,
48,01006086,01006086,01006086,GUM-BA,,
49,02006020,02006020,02006020,GUM-BL,,
50,03006129,03006129,03006129,GUM-BR,,
51,04006134,04006134,04006134,GUM-CA,,
52,05006165,05006165,05006165,GUM-F,,
53,04006020,04006020,04006020,GUM-FA,,
54,10006133,10006133,10006133,GUM-FR,,
55,19006214,19006214,19006214,GUM-LE,,
56,14006136,14006136,14006136,GUM-MO,,
57,06006020,06006020,06006020,GUM-NO,,
58,17006000,17006000,17006000,GUM-PDB,,
59,15006130,15006130,15006130,GUM-PO,,
60,07006221,07006221,07006221,GUM-PRIVE,,
61,11006137,11006137,11006137,GUM-RP,,
62,12006131,12006131,12006131,GUM-SR,,
63,13006135,13006135,13006135,GUM-SW,,
64,09006020,09006020,09006020,GUM-TE,,
65,07006020,07006020,07006020,GUM-VI,,
66,00006196,00006196,00006196,GUM-СКЛАД,,
67,04006011,04006011,04006011,KASH-FA,,
68,07006202,07006202,07006202,KAZ-ML-NO,,
69,03004045,03004045,03004045,KAZ-PH-BR,,
70,01004037,01004037,01004037,KAZ-PH-OT-BA,,
71,04004037,04004037,04004037,KAZ-PH-OT-FA,,
72,06004037,06004037,06004037,KAZ-PH-OT-NO,,
73,01004087,01004087,01004087,KAZ-SP-BA,,
74,02004087,02004087,02004087,KAZ-SP-BL,,
75,08004103,08004103,08004103,KAZ-SP-CA,,
76,04004087,04004087,04004087,KAZ-SP-FA,,
77,06004087,06004087,06004087,KAZ-SP-NO,,
78,07004103,07004103,07004103,KAZ-SP-VI,,
79,01005049,01005049,01005049,KRK-PL-BA,,
80,03005049,03005049,03005049,KRK-PL-BR,,
81,07005231,07005231,07005231,KRK-PL-NO-DO,,
82,07005232,07005232,07005232,KRK-PL-NO-UO,,
83,06010096,06010096,06010096,KRR-OZ-NO,,
84,06006006,06006006,06006006,KUT-NO,,
85,18006000,18006000,18006000,KV,,
86,07003251,07003251,07003251,KZ-ONLINE,,
87,07006267,07006267,07006267,LEF-NO-POP,,
88,07006161,07006161,07006161,MET-NO,,
89,01006064,01006064,01006064,METR-BA,,
90,03006056,03006056,03006056,METR-BR,,
91,06006053,06006053,06006053,METR-NO,,
92,16006000,16006000,16006000,MP,,
93,07006246,07006246,07006246,MR-NO-POP-UP,,
94,00006164,00006164,00006164,MSK-SHOP,,
95,07012000,07012000,07012000,NO-GL-NO,,
96,170061841,170061841,170061841,NOONE1,,
97,170061842,170061842,170061842,NOONE2,,
98,07006252,07006252,07006252,NO-ONONE,,
99,06006060,06006060,06006060,NOV-OT-NO,,
100,07006211,07006211,07006211,NR-NOONE,,
101,01006199,01006199,01006199,NR-OT-BA,,
102,111,111,111,NR-OT-NO,,
103,00006171,00006171,00006171,OBR,,
104,00-000003,00-000003,00-000003,OFF-NO,,
105,00000003,00000003,00000003,OFF-NO,,
106,07006200,07006200,07006200,OKEAN-NO,,
107,00006105,00006105,00006105,ONLINE,,
108,07006220,07006220,07006220,ONLINE POINT,,
109,03000000,03000000,03000000,ONLINE TV12-BR,,
110,16006172,16006172,16006172,ONLINEDHL,,
111,00006150,00006150,00006150,ONLINEDIS,,
112,16006779,16006779,16006779,ONLINEDPD,,
113,16006780,16006780,16006780,ONLINEGETT,,
114,16006175,16006175,16006175,ONLINEKC,,
115,16006181,16006181,16006181,ONLINESC,,
116,16006195,16006195,16006195,ONLINESC,,
117,07006796,07006796,07006796,ONLINESDEK,,
118,16006106,16006106,16006106,ONLINEST,,
119,16006001,16006001,16006001,ONLINESV,,
120,16006105,16006105,16006105,ONLINEVT,,
121,07002788,07002788,07002788,ONLINEYAEKT,,
122,07012792,07012792,07012792,ONLINEYAHSK,,
123,07001787,07001787,07001787,ONLINEYAKDR,,
124,07005791,07005791,07005791,ONLINEYAKRSK,,
125,07003789,07003789,07003789,ONLINEYAKZN,,
126,16006786,16006786,16006786,ONLINEYANDEX,,
127,07007793,07007793,07007793,ONLINEYARND,,
128,07008794,07008794,07008794,ONLINEYASMR,,
129,07010795,07010795,07010795,ONLINEYAUFA,,
130,19006216,19006216,19006216,ONLINEYAVLG,,
131,07006037,07006037,07006037,ORDJ-OT-NO,,
132,19006215,19006215,19006215,OZON,,
133,19006217,19006217,19006217,PDB-IT,,
134,07006187,07006187,07006187,POP UP-OT-NO,,
135,07006140,07006140,07006140,PRE-NO,,
136,00006023,00006023,00006023,PTV,,
137,00006024,00006024,00006024,REK,,
138,01007065,01007065,01007065,ROS-G-BA,,
139,02007084Ж,06007054,02007084,ROS-G-BL,Ж,
140,02007084М,06107104,02007084,ROS-G-BL,М,
141,02007084У,06107104,02007084,ROS-G-BL,У,
142,02007084,06107104,02007084,ROS-G-BL,,
143,03007067Ж,06007054,03007067,ROS-G-BR,Ж,
144,03007067М,06107104,03007067,ROS-G-BR,М,
145,03007067У,06107104,03007067,ROS-G-BR,У,
146,03007067,06107104,03007067,ROS-G-BR,,
147,08007089Ж,06007054,08007089,ROS-G-CA,Ж,
148,08007089М,06107104,08007089,ROS-G-CA,М,
149,08007089У,06107104,08007089,ROS-G-CA,У,
150,08007089,06107104,08007089,ROS-G-CA,,
151,04007061,04007061,04007061,ROS-G-FA,,
152,06007054,06007054,06007054,ROS-G-NOD,,
153,06107104,06107104,06107104,ROS-G-NOU,,
154,15007151Ж,06007054,15007151,ROS-G-PO,Ж,
155,15007151М,06107104,15007151,ROS-G-PO,М,
