,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,00-000001,ОПТ_TEST,,Нет,,,,0001-01-01,,,,Нет,,,Нет,0001-01-01,0,,,,,2023-03-20 05:10:01,0
1,00-000002,Склад Свиблово,,Нет,1,skl1,,0001-01-01,,,,Нет,,Мск Свиблово Отдел Логистики,Нет,0001-01-01,159,,,,,2023-03-20 05:10:01,0
2,00-000003,Мск ОФИС,,Да,68,OFF-NO,,2021-01-01,МОСКВА,NO ONE,Основной,Нет,основная,Тренинги,Да,0001-01-01,0,Multi,,,,2023-03-20 05:10:01,0
3,00-000004,ОПТ,,Нет,183,ОПТ,,2019-06-10,МОСКВА,,Основной,Нет,,,Да,0001-01-01,0,,,,,2023-03-20 05:10:01,0
4,00-000005,ВЭД,,Нет,,,,0001-01-01,,,,Нет,,,Нет,0001-01-01,0,,,,,2023-03-20 05:10:01,0
5,00006023,Мск Тверская 12 БРАК (старый),,Да,23,PTV,МОСКВА Подвал Тверской,2008-09-17,МОСКВА,,Браки,Да,основная,,Нет,2022-04-01,0,,,,,2023-03-20 05:10:01,0
6,00006024,Мск Реклама,,Да,24,REK,МОСКВА Реклама,2013-04-18,МОСКВА,,Реклама,Нет,Реклама,,Нет,0001-01-01,0,,,,,2023-03-20 05:10:01,0
7,00006105,Мск интернет-магазин,,Да,105,ONLINE,МОСКВА Интернет-магазин,2013-02-28,МОСКВА,Интернет-магазин,Интернет-торговля,Нет,основная,Мск ИМ Тверская 12,Нет,0001-01-01,105,Online,,,,2023-03-20 05:10:01,0
8,00006150,МОСКВА Интернет-Магазин-Дисконт,,Да,150,ONLINEDIS,МОСКВА Интернет-магазин,2015-11-23,МОСКВА,,Интернет-торговля,Да,сток,,Нет,2017-10-01,105,,,,,2023-03-10 17:26:12,0
9,00006164,Мск Малая Бронная 24 ШОУ РУМ,,Да,164,MSK-SHOP,,2017-06-27,МОСКВА,,Реклама,Нет,Реклама,,Нет,0001-01-01,0,,,,,2023-03-20 05:10:01,0
10,00006171,Образцы,,Да,171,OBR,Москва Образцы,2018-07-16,МОСКВА,,Реклама,Нет,Реклама,,Нет,0001-01-01,0,,,,,2023-03-20 05:10:01,0
11,00006183,ОПТ_Lamoda,,Нет,183,ОПТ-Lamoda,ОПТ_Lamoda,2019-06-10,МОСКВА,,ОПТ,Нет,,,Да,0001-01-01,0,,,,,2023-03-20 05:10:01,0
12,00006191,Мск склад Европейский,,Да,191,EVR-СКЛАД,МОСКВА ЕВРОПЕЙСКИЙ ТРЦ,2020-03-01,МОСКВА,,Основной,Нет,основная,Мск Европейский СКЛАД,Да,0001-01-01,0,,,,,2023-03-20 05:10:01,0
13,00006196,Мск склад ГУМ,,Да,196,GUM-СКЛАД,МОСКВА ГУМ,2019-10-03,МОСКВА,,Основной,Нет,основная,Мск ГУМ СКЛАД,Нет,0001-01-01,0,,,,,2023-03-20 05:10:01,0
14,01001047,Влг Парк Хаус BALDININI,,Да,47,VOL-PH-BA,"ВОЛГОГРАД МОЛЛ ""ПАРК-ХАУС""",2008-03-29,ВОЛГОГРАД,BALDININI,Основной,Да,основная,"Влг Парк Хаус NO ONE, BALDININI, FABI",Нет,2020-10-01,344345001,,,,,2023-03-10 17:26:12,0
15,01002071,"Екатеринбург ТЦ ""ЕВРОПА"" Baldinini",,Да,71,EK-EVR-BA,"ЕКАТЕРИНБУРГ ТЦ ""ЕВРОПА""",2009-10-23,ЕКАТЕРИНБУРГ,BALDININI,Основной,Да,основная регион,,Нет,2016-02-29,0,,,,,2023-03-20 05:10:01,0
16,01004037,"Казань OUTLET МОЛЛ ""ПАРК-ХАУС"" Baldinini",,Да,37,KAZ-PH-OT-BA,"КАЗАНЬ МОЛЛ ""ПАРК-ХАУС""",2007-02-24,КАЗАНЬ,BALDININI,Сток,Да,Казань СТОК,,Нет,2016-03-28,0,,,,,2023-03-20 05:10:01,0
17,01004087,Кзн Сувар Плаза BALDININI,,Да,87,KAZ-SP-BA,"КАЗАНЬ ТЦ ""Сувар - Плаза""",2011-05-06,КАЗАНЬ,BALDININI,Основной,Да,основная,"Кзн Сувар Плаза NO ONE, BALDININI, FABI",Нет,2020-11-06,165545001,,,,,2023-03-10 17:26:12,0
18,01005049,"Красноярск ТДЦ  ""Планета"" Baldinini",,Да,49,KRK-PL-BA,"КРАСНОЯРСК ТДЦ  ""Планета""",2008-05-05,КРАСНОЯРСК,BALDININI,Основной,Да,Красноярск Baldinini,"Красноярск, Планета Baldinini, Braccialini",Нет,2018-02-20,0,,,,,2023-03-20 05:10:01,0
19,01006033,Мск Капитолий Вернадского BALDININI,,Да,33,VERN-BA,МОСКВА КАПИТОЛИЙ на Вернадского,2006-12-02,МОСКВА,BALDININI,Основной,Да,основная,Мск Капитолий Вернадского BALDININI,Нет,2020-10-01,772545008,,,,,2023-03-10 17:26:12,0
20,01006034,Мск Европейский BALDININI,,Да,190,EVR-BA,МОСКВА ЕВРОПЕЙСКИЙ ТРЦ,2006-11-03,МОСКВА,BALDININI,Основной,Нет,основная,"Мск Европейский BALDININI, NO ONE DONNA, NO ONE UO",Нет,0001-01-01,772545012,Mono B,,,,2023-05-01 05:10:02,0
21,01006035,Мск Тверская 12 NO ONE,,Да,193,TV12-NO,МОСКВА Тверская 12,2019-08-12,МОСКВА,NO ONE,Основной,Нет,основная,Мск Тверская 12 NO ONE,Нет,0001-01-01,772545003,Multi,,,,2023-03-20 05:10:01,0
22,01006039,Мск Атриум BALDININI,,Да,39,ATR-BA,МОСКВА АТРИУМ,2007-08-10,МОСКВА,BALDININI,Основной,Нет,основная,"Мск Атриум BALDININI, NO ONE",Нет,0001-01-01,772545002,Mono B,,,,2023-03-20 05:10:01,0
23,01006059,Мск Тверская 12 BALDININI,,Да,59,TV12-BA,МОСКВА Тверская 12,2008-09-24,МОСКВА,BALDININI,Основной,Нет,основная,Мск Тверская 12 BALDININI,Нет,2020-03-12,772545003,,,,,2023-03-14 14:58:54,0
24,01006064,Москва МЕТРОПОЛИС Baldinini,,Да,64,METR-BA,МОСКВА МЕТРОПОЛИС,2009-01-31,МОСКВА,BALDININI,Основной,Да,основная,,Нет,2016-01-10,0,,,,,2023-03-20 05:10:01,0
